100,1,67.4,202,100.0,84.63,89.9
200,0,198.7,450,100.0,136.92,93.9
300,2,500.6,962,100.0,177.03,97.3
400,1,576.4,1191,99.0,170.11,97.4
500,2,785.1,1600,99.0,168.44,97.6
600,2,769.6,1484,100.0,165.80,96.9
700,2,776.9,1796,100.0,167.54,97.5
800,2,894.7,1806,100.0,183.74,97.9
900,2,879.4,1830,100.0,184.74,98.0
1000,2,1031.1,1748,100.0,173.95,97.9
1100,2,931.7,1958,100.0,168.85,97.9
1200,2,900.2,1754,100.0,171.72,98.1
1300,3,886.8,2000,100.0,161.75,98.0
1400,2,947.7,1668,100.0,175.71,97.7
1500,2,1031.8,1982,100.0,173.85,97.5
1600,3,1142.9,2000,100.0,170.85,97.6
1700,2,977.3,2000,100.0,173.87,97.3
1800,2,1055.0,1983,100.0,171.80,97.5
1900,3,1065.4,1882,100.0,180.89,97.7
2000,3,1217.5,2000,100.0,175.87,97.6
2100,3,1076.2,2000,100.0,175.92,97.6
2200,3,1175.9,2000,100.0,170.90,97.7
2300,3,1371.8,2000,100.0,175.96,97.5
2400,3,1222.7,2000,100.0,182.84,97.4
2500,4,1109.6,2000,100.0,175.86,97.4
2600,3,1372.7,2000,100.0,179.92,97.6
2700,4,1303.2,2000,100.0,175.95,97.4
2800,3,1090.8,2000,100.0,178.79,96.7
2900,3,1181.7,2000,100.0,176.93,96.6
3000,4,1232.9,2000,100.0,174.79,97.3
3100,3,1035.8,2000,100.0,173.88,96.7
3200,2,723.2,1837,100.0,171.20,92.9
3300,2,441.6,1248,100.0,165.61,51.7
3400,1,498.1,1163,100.0,169.59,64.3
3500,3,751.3,2000,100.0,173.37,86.2
3600,2,503.7,1144,100.0,173.07,63.7
3700,1,467.8,1341,100.0,165.43,65.6
3800,2,364.4,817,100.0,155.87,36.9
3900,1,341.1,883,99.0,158.11,25.2
4000,1,352.9,869,99.0,154.88,32.0
4100,2,287.9,793,100.0,163.74,31.6
4200,0,264.3,1000,100.0,154.51,37.5
4300,2,258.2,781,99.0,145.75,26.6
4400,1,312.0,812,100.0,157.58,22.4
4500,2,383.7,955,100.0,164.38,21.6
4600,1,350.4,756,100.0,165.55,21.1
4700,1,293.9,836,100.0,155.98,23.5
4800,2,339.8,929,98.0,147.80,23.7
4900,1,392.3,1030,98.0,160.40,41.8
5000,2,429.2,1008,100.0,167.42,43.4
5100,1,452.5,1090,100.0,160.64,43.1
5200,3,394.5,800,100.0,162.85,44.5
5300,1,462.7,1645,100.0,176.46,64.6
5400,2,482.2,1426,100.0,161.25,73.1
5500,2,390.6,1822,99.0,158.59,84.8
5600,2,832.6,2000,100.0,176.26,96.0
5700,3,669.9,1878,98.0,169.44,94.7
5800,4,1456.3,2000,100.0,182.69,97.5
5900,4,1355.0,2000,100.0,178.81,97.4
6000,6,1424.2,2000,100.0,171.97,97.5
6100,5,1476.8,2000,100.0,179.95,97.7
6200,4,1471.2,2000,100.0,176.97,97.6
6300,5,1508.3,2000,100.0,180.98,97.6
6400,5,1475.3,2000,100.0,181.96,97.6
6500,5,1558.2,2000,100.0,177.99,97.4
6600,4,1292.5,2000,100.0,166.90,97.3
6700,5,1291.9,2000,100.0,175.92,97.3
6800,5,1328.1,2000,100.0,174.97,97.5
6900,5,1411.6,2000,100.0,175.98,97.0
7000,5,1414.1,2000,100.0,184.97,96.9
7100,5,1278.3,2000,100.0,183.93,96.8
7200,5,1386.7,2000,100.0,175.93,96.9
7300,3,1038.7,2000,100.0,181.71,95.4
7400,4,965.2,2000,100.0,168.46,95.0
7500,5,1317.2,2000,100.0,180.92,97.0
7600,5,1344.1,2000,100.0,179.94,96.9
7700,4,1062.4,2000,100.0,176.47,96.8
7800,2,532.0,1943,100.0,168.61,49.7
7900,2,366.9,1345,99.0,166.26,29.5
8000,2,400.6,945,100.0,167.15,26.9
8100,2,387.8,913,100.0,157.14,29.9
8200,2,466.0,936,100.0,166.16,22.3
8300,2,349.3,943,100.0,159.65,21.8
8400,2,348.7,845,100.0,165.07,19.6
8500,1,359.7,883,100.0,159.73,18.2
8600,2,322.6,698,100.0,163.61,15.1
8700,2,352.3,742,99.0,163.56,15.0
8800,2,411.4,742,100.0,166.27,13.0
8900,2,402.6,813,100.0,171.58,15.0
9000,1,335.9,696,100.0,164.68,13.2
9100,2,358.5,804,100.0,170.93,14.3
9200,2,292.3,763,100.0,155.91,16.6
9300,1,345.8,1033,100.0,164.78,14.0
9400,2,280.5,703,100.0,163.34,22.0
9500,2,370.6,818,100.0,156.33,21.0
9600,2,357.9,1367,100.0,169.29,21.1
9700,2,506.0,2000,100.0,169.16,40.8
9800,2,512.8,1705,100.0,174.22,62.5
9900,3,390.6,1045,99.0,165.13,31.1
10000,2,450.2,1140,100.0,167.51,28.1
