100,1,460.3,1328,98.0,148.67,96.2
200,1,271.4,1615,99.0,139.60,38.6
300,0,165.3,521,98.0,133.34,3.4
400,1,231.9,631,99.0,151.10,21.7
500,2,1041.9,2000,100.0,173.29,96.3
600,4,1475.6,2000,100.0,181.44,97.7
700,3,1337.3,2000,100.0,177.72,97.2
800,3,1374.4,2000,100.0,168.96,97.9
900,3,1588.1,2000,99.0,178.99,97.8
1000,2,725.9,1938,100.0,169.27,90.1
1100,3,975.1,2000,100.0,172.27,94.2
1200,3,1538.7,2000,100.0,179.97,97.3
1300,3,1148.1,2000,100.0,173.48,96.4
1400,4,1107.0,2000,100.0,182.65,97.7
1500,4,1268.2,2000,100.0,183.48,96.9
1600,4,1570.1,2000,100.0,182.79,97.2
1700,4,1223.5,2000,100.0,184.52,96.3
1800,4,1233.5,2000,100.0,180.45,96.1
1900,3,907.8,2000,100.0,182.57,93.6
2000,2,360.2,1396,100.0,157.19,60.9
2100,1,298.4,1396,100.0,148.95,38.2
2200,2,383.0,1145,99.0,161.52,26.7
2300,1,205.5,649,98.0,132.13,21.9
2400,1,253.4,752,98.0,145.57,22.7
2500,1,296.9,768,100.0,161.06,20.4
2600,2,364.6,846,100.0,162.69,13.6
2700,1,394.0,905,100.0,164.95,9.4
2800,2,371.7,901,100.0,148.23,9.9
2900,1,279.5,520,100.0,159.28,12.9
3000,2,389.7,855,100.0,170.39,6.6
3100,1,220.8,541,100.0,152.33,8.4
3200,1,238.9,649,100.0,152.66,5.2
3300,2,356.6,849,100.0,156.63,9.1
3400,1,265.2,619,100.0,150.63,6.9
3500,2,374.7,1157,99.0,160.84,16.4
3600,1,346.2,1103,100.0,167.22,18.1
3700,2,326.5,889,100.0,159.67,14.8
3800,1,164.4,817,99.0,132.46,9.7
3900,0,198.0,683,100.0,142.47,14.0
4000,1,137.5,632,99.0,116.40,13.1
4100,1,364.8,946,98.0,159.44,20.7
4200,2,352.5,935,100.0,172.14,13.3
4300,2,336.0,1075,100.0,160.57,12.0
4400,2,438.7,1235,100.0,164.64,14.4
4500,1,326.3,994,100.0,164.34,11.7
4600,2,348.5,954,100.0,166.29,13.6
4700,1,318.2,1186,100.0,161.38,14.5
4800,2,272.6,752,99.0,150.48,13.4
4900,2,268.6,718,100.0,153.42,20.1
5000,1,416.6,966,99.0,163.87,24.8
5100,2,452.0,1170,98.0,160.72,38.5
5200,2,457.4,1275,99.0,163.68,37.2
5300,2,418.3,1079,100.0,164.96,38.1
5400,1,278.6,1854,100.0,146.04,34.8
5500,2,367.6,1306,100.0,155.32,35.6
5600,1,303.0,1153,100.0,152.97,30.6
5700,2,342.1,933,100.0,153.38,38.0
5800,2,364.7,1096,100.0,168.76,32.8
5900,2,398.0,1225,100.0,163.68,33.6
6000,1,295.4,818,99.0,156.20,27.0
6100,3,382.3,826,100.0,172.43,21.1
6200,2,382.9,891,100.0,162.87,28.8
6300,2,419.0,1504,99.0,157.29,41.5
6400,2,705.4,2000,100.0,162.58,90.3
6500,6,1264.1,2000,100.0,176.51,96.0
6600,5,1445.2,2000,100.0,182.71,96.2
6700,4,953.6,2000,100.0,177.34,94.1
6800,5,1421.4,2000,100.0,176.51,96.5
6900,5,1193.4,2000,100.0,175.30,95.1
7000,6,1460.7,2000,100.0,178.90,96.4
7100,6,1304.1,2000,100.0,177.84,95.7
7200,5,1248.4,2000,99.0,167.81,96.6
7300,5,1359.7,2000,100.0,181.75,96.3
7400,5,1042.9,2000,100.0,172.49,94.5
7500,2,545.6,1997,100.0,169.11,65.1
7600,2,440.6,1631,100.0,157.08,70.3
7700,4,811.6,2000,100.0,166.95,92.1
7800,6,1354.1,2000,100.0,178.85,96.0
7900,5,1070.7,2000,100.0,176.01,95.0
8000,4,725.4,2000,100.0,175.21,91.3
8100,4,947.8,2000,100.0,175.72,93.1
8200,5,1281.4,2000,100.0,174.82,95.6
8300,5,983.2,2000,100.0,179.46,94.7
8400,5,1105.1,2000,100.0,173.83,95.1
8500,7,1357.1,2000,100.0,182.94,96.1
8600,6,1427.7,2000,100.0,173.87,96.4
8700,6,1393.1,2000,99.0,169.87,96.2
8800,7,1399.4,2000,100.0,167.76,96.3
8900,11,1408.2,2000,100.0,183.77,96.5
9000,8,1485.0,2000,100.0,181.91,96.4
9100,8,1408.3,2000,100.0,176.78,96.5
9200,6,948.0,2000,100.0,173.60,93.0
9300,4,767.0,1838,100.0,167.99,90.1
9400,4,745.4,2000,100.0,168.88,91.3
9500,4,760.8,2000,100.0,174.98,90.4
9600,4,865.0,2000,100.0,168.34,92.9
9700,7,1282.5,2000,100.0,182.64,95.5
9800,6,1440.8,2000,100.0,180.88,95.9
9900,8,1638.8,2000,100.0,186.94,96.6
10000,7,1575.4,2000,100.0,178.98,96.2
